epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1091.23,1.06212,0.84909,0.99904,0.94667,0.94639,0.98471,0.76225,0.96851,0.72559,0.95913,0.000990365,0.000990365,0.000990365
43,1115.49,1.06127,0.87214,1.02098,0.94667,0.94639,0.98471,0.76225,0.96851,0.72559,0.95913,0.000973861,0.000973861,0.000973861
44,1139.94,1.03945,0.85555,1.0292,0.95441,0.95866,0.98356,0.76116,0.98419,0.72053,0.96749,0.000957358,0.000957358,0.000957358
45,1166.95,1.04539,0.87838,1.02133,0.96056,0.95672,0.98392,0.76142,0.99678,0.72199,0.97466,0.000940855,0.000940855,0.000940855
46,1190,1.02408,0.80639,1.00117,0.96056,0.95672,0.98392,0.76142,0.99678,0.72199,0.97466,0.000924352,0.000924352,0.000924352
47,1213.82,1.05155,0.85471,1.00187,0.95747,0.95944,0.98722,0.77361,0.96647,0.70349,0.95695,0.000907848,0.000907848,0.000907848
48,1237.61,1.06253,0.81675,1.01503,0.95784,0.96085,0.98942,0.77811,0.94192,0.68225,0.94592,0.000891345,0.000891345,0.000891345
49,1260.74,1.0764,0.84058,0.9917,0.95784,0.96085,0.98942,0.77811,0.94192,0.68225,0.94592,0.000874842,0.000874842,0.000874842
50,1283.63,0.98919,0.80109,0.98845,0.95181,0.97148,0.99018,0.78189,0.93212,0.66982,0.94501,0.000858338,0.000858338,0.000858338
51,1306.5,0.98244,0.76031,0.98315,0.96641,0.97097,0.9901,0.77242,0.96375,0.66253,0.95287,0.000841835,0.000841835,0.000841835
52,1330.64,0.96366,0.79392,0.98171,0.96641,0.97097,0.9901,0.77242,0.96375,0.66253,0.95287,0.000825332,0.000825332,0.000825332
53,1352.89,0.989,0.80119,0.99866,0.97881,0.96402,0.98986,0.77578,0.95971,0.65733,0.9499,0.000808828,0.000808828,0.000808828
54,1376.09,0.97808,0.74767,0.97713,0.97881,0.96402,0.98986,0.77578,0.95971,0.65733,0.9499,0.000792325,0.000792325,0.000792325
55,1398.53,0.9927,0.76077,0.99278,0.97806,0.96597,0.99126,0.78604,0.92157,0.65205,0.93754,0.000775822,0.000775822,0.000775822
56,1422.37,0.99155,0.82622,0.99613,0.97133,0.97028,0.9905,0.78472,0.92358,0.67283,0.93996,0.000759318,0.000759318,0.000759318
57,1446.38,0.97303,0.7771,0.98345,0.97133,0.97028,0.9905,0.78472,0.92358,0.67283,0.93996,0.000742815,0.000742815,0.000742815
58,1471.89,0.99201,0.76847,0.99844,0.96682,0.97028,0.98973,0.77838,0.94006,0.67342,0.94833,0.000726312,0.000726312,0.000726312
59,1496.18,0.97896,0.75626,0.98312,0.96893,0.97481,0.99103,0.78726,0.91854,0.6549,0.93863,0.000709809,0.000709809,0.000709809
60,1522,0.93804,0.72828,0.96792,0.96893,0.97481,0.99103,0.78726,0.91854,0.6549,0.93863,0.000693305,0.000693305,0.000693305
