epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8248,0.55384,0.63058,1.00941,0.98255,0.96507,0.99079,0.88575,0.46245,0.52814,0.92792,0.000552491,0.000552491,0.000552491
2,91.1201,0.56103,0.64232,1.02671,0.97333,0.98035,0.99179,0.90439,0.42384,0.49655,0.8982,0.00108622,0.00108622,0.00108622
3,135.69,0.55819,0.62743,1.008,0.98461,0.97785,0.99072,0.89727,0.43995,0.55843,0.91099,0.00159794,0.00159794,0.00159794
4,178.65,0.56858,0.63104,1.01613,0.98601,0.97817,0.99354,0.88965,0.46676,0.49022,0.92096,0.00156798,0.00156798,0.00156798
5,222.481,0.59399,0.64064,1.03437,0.95385,0.9869,0.97666,0.85773,0.48922,0.54459,0.93805,0.00153497,0.00153497,0.00153497
6,267.151,0.58389,0.66949,1.02254,0.98411,0.97489,0.99353,0.89479,0.46713,0.55308,0.92081,0.00150197,0.00150197,0.00150197
7,310.93,0.54504,0.6186,1.01445,0.96835,0.97926,0.98603,0.87852,0.4753,0.53453,0.94728,0.00146896,0.00146896,0.00146896
8,364.722,0.55503,0.6224,1.02401,0.97619,0.98452,0.99369,0.9034,0.42334,0.45959,0.90379,0.00143595,0.00143595,0.00143595
9,407.469,0.53353,0.57116,0.9936,0.98468,0.98246,0.99403,0.86983,0.51868,0.47821,0.93491,0.00140295,0.00140295,0.00140295
10,450.072,0.54393,0.55457,0.98852,0.98697,0.99233,0.99451,0.90588,0.44099,0.45086,0.89961,0.00136994,0.00136994,0.00136994
11,493.185,0.57039,0.5754,1.02312,0.98471,0.98418,0.99147,0.89927,0.4363,0.5113,0.90713,0.00133693,0.00133693,0.00133693
12,536.191,0.51104,0.54145,0.97177,0.98151,0.98527,0.99297,0.87831,0.46202,0.46173,0.92012,0.00130393,0.00130393,0.00130393
13,580.145,0.52853,0.51063,0.99112,0.98478,0.9891,0.9932,0.89714,0.44234,0.45635,0.90619,0.00127092,0.00127092,0.00127092
14,621.593,0.51151,0.49921,0.97191,0.99057,0.99236,0.99355,0.92234,0.38648,0.38906,0.87671,0.00123791,0.00123791,0.00123791
15,667.918,0.50942,0.50986,0.9749,0.99727,0.99017,0.99477,0.9117,0.39712,0.38666,0.8837,0.00120491,0.00120491,0.00120491
16,713.133,0.49843,0.50713,0.98199,0.99237,0.99434,0.99474,0.91864,0.38289,0.3788,0.89287,0.0011719,0.0011719,0.0011719
17,756.899,0.50141,0.50702,0.96694,0.99649,0.99236,0.99454,0.91983,0.39721,0.37943,0.88788,0.00113889,0.00113889,0.00113889
18,800.141,0.49068,0.49081,0.97298,0.99621,0.9869,0.99487,0.91328,0.39233,0.39361,0.88624,0.00110589,0.00110589,0.00110589
19,844.257,0.50726,0.51576,0.98523,0.9921,0.99236,0.99489,0.92438,0.37395,0.40598,0.87998,0.00107288,0.00107288,0.00107288
20,888.942,0.49536,0.49317,0.97398,0.99671,0.99191,0.99482,0.92545,0.37307,0.36815,0.8806,0.00103987,0.00103987,0.00103987
21,934.391,0.49471,0.46458,0.97323,0.99672,0.9944,0.99459,0.92871,0.36131,0.36147,0.87031,0.00100687,0.00100687,0.00100687
22,981.8,0.47715,0.4448,0.96241,0.99562,0.99297,0.99496,0.92768,0.36176,0.365,0.86908,0.000973861,0.000973861,0.000973861
23,1033.56,0.46521,0.44255,0.94822,0.99022,0.98581,0.99431,0.91855,0.37611,0.38592,0.87486,0.000940855,0.000940855,0.000940855
24,1080.63,0.47357,0.45455,0.9649,0.98054,0.98991,0.99434,0.91668,0.39167,0.37198,0.88417,0.000907848,0.000907848,0.000907848
25,1130.73,0.45211,0.42261,0.93669,0.99126,0.99672,0.99487,0.92319,0.36896,0.35639,0.87099,0.000874842,0.000874842,0.000874842
26,1181.24,0.47082,0.44121,0.96643,0.99478,0.99345,0.9949,0.9212,0.37286,0.33042,0.87316,0.000841835,0.000841835,0.000841835
27,1230.4,0.46316,0.42735,0.95203,0.9962,0.99017,0.99481,0.93591,0.35875,0.32739,0.86302,0.000808828,0.000808828,0.000808828
28,1274.22,0.47873,0.43239,0.97112,0.99345,0.98799,0.99466,0.91521,0.38587,0.34314,0.8757,0.000775822,0.000775822,0.000775822
29,1317.96,0.46457,0.42348,0.94943,0.99455,0.99647,0.99497,0.93369,0.35088,0.32839,0.86144,0.000742815,0.000742815,0.000742815
30,1361.55,0.45395,0.43061,0.94823,0.99775,0.99454,0.99495,0.94624,0.33592,0.30231,0.86239,0.000709809,0.000709809,0.000709809
31,1405.2,0.44389,0.41209,0.94448,0.99456,0.9975,0.99491,0.94795,0.32515,0.30533,0.85964,0.000676802,0.000676802,0.000676802
32,1449.1,0.44399,0.39886,0.93749,0.99564,0.99764,0.995,0.94488,0.32385,0.2992,0.85909,0.000643795,0.000643795,0.000643795
33,1492.49,0.43291,0.38951,0.94351,0.99975,0.99782,0.995,0.93572,0.33726,0.28892,0.86057,0.000610789,0.000610789,0.000610789
34,1535.24,0.43688,0.38198,0.94755,0.99891,0.99859,0.99498,0.94115,0.34723,0.30269,0.8592,0.000577782,0.000577782,0.000577782
35,1578.9,0.44902,0.41478,0.9411,0.99816,0.99782,0.995,0.93436,0.35047,0.31135,0.86368,0.000544776,0.000544776,0.000544776
