epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.72,0.97047,0.80909,1.1083,0.92432,0.86433,0.95474,0.69453,1.01924,0.83589,1.14602,0.000554523,0.000554523,0.000554523
2,246.395,1.00825,0.86895,1.12292,0.90959,0.93457,0.97296,0.69893,0.96073,0.72773,1.09288,0.00108821,0.00108821,0.00108821
3,369.977,1.06005,0.99717,1.16133,0.83629,0.84366,0.92987,0.66653,0.96011,0.88628,1.12401,0.00159989,0.00159989,0.00159989
4,498.276,1.04616,0.93136,1.13534,0.93334,0.94215,0.98,0.70895,0.941,0.69502,1.11528,0.00156798,0.00156798,0.00156798
5,608.662,1.09214,0.94671,1.15831,0.84349,0.90496,0.94761,0.70214,0.90263,0.75509,1.08016,0.00153497,0.00153497,0.00153497
6,716.697,1.06271,0.94221,1.17714,0.86635,0.86226,0.93331,0.66298,0.94133,0.83343,1.13021,0.00150197,0.00150197,0.00150197
7,824.624,1.03604,0.97654,1.1405,0.9289,0.94475,0.97953,0.73223,0.90073,0.67421,1.0885,0.00146896,0.00146896,0.00146896
8,935.17,1.03288,0.85536,1.14427,0.8976,0.93182,0.96862,0.72612,0.90194,0.66811,1.06447,0.00143595,0.00143595,0.00143595
9,1048.94,0.98834,0.82309,1.11151,0.93639,0.91238,0.97316,0.71441,0.91779,0.67708,1.07624,0.00140295,0.00140295,0.00140295
10,1158.81,1.0367,0.87759,1.13606,0.85704,0.89945,0.93314,0.69219,0.93036,0.8093,1.09273,0.00136994,0.00136994,0.00136994
11,1268.85,1.01037,0.88389,1.13488,0.86014,0.89463,0.95184,0.69282,0.97601,0.79522,1.14201,0.00133693,0.00133693,0.00133693
12,1378.03,1.01797,0.90997,1.12749,0.83829,0.8497,0.91954,0.64359,1.00117,0.85593,1.14126,0.00130393,0.00130393,0.00130393
13,1484.76,0.95811,0.80868,1.10279,0.91117,0.94658,0.97949,0.72822,0.90424,0.64395,1.07569,0.00127092,0.00127092,0.00127092
14,1600.28,1.00472,0.85952,1.13633,0.95084,0.94587,0.98535,0.73196,0.92608,0.67498,1.08666,0.00123791,0.00123791,0.00123791
15,1716.12,1.00341,0.81962,1.12809,0.93165,0.95661,0.98295,0.7194,0.96468,0.6625,1.09322,0.00120491,0.00120491,0.00120491
16,1825.41,0.97435,0.84092,1.10666,0.93718,0.96212,0.97951,0.73858,0.87786,0.64866,1.04506,0.0011719,0.0011719,0.0011719
17,1934.74,0.95811,0.7881,1.09598,0.9529,0.97531,0.98764,0.7523,0.86946,0.60021,1.06265,0.00113889,0.00113889,0.00113889
18,2043.46,0.97651,0.78372,1.10403,0.93694,0.9697,0.98311,0.7435,0.87708,0.60822,1.08165,0.00110589,0.00110589,0.00110589
19,2146.91,0.95591,0.73452,1.0888,0.87418,0.95661,0.96831,0.7122,0.90491,0.66326,1.07807,0.00107288,0.00107288,0.00107288
20,2245.76,0.93691,0.73289,1.07777,0.96037,0.96794,0.98808,0.75494,0.85822,0.56266,1.04462,0.00103987,0.00103987,0.00103987
21,2355.42,0.95046,0.79122,1.09682,0.92498,0.96901,0.98253,0.7357,0.85772,0.62318,1.05551,0.00100687,0.00100687,0.00100687
22,2463.61,0.93914,0.7486,1.10473,0.94913,0.96006,0.98364,0.74501,0.87203,0.61109,1.05759,0.000973861,0.000973861,0.000973861
23,2575.65,0.92381,0.73622,1.09182,0.93197,0.95799,0.98433,0.75406,0.84705,0.59913,1.05444,0.000940855,0.000940855,0.000940855
24,2686.01,0.94555,0.7523,1.09058,0.93461,0.95483,0.98278,0.73451,0.8992,0.59413,1.06148,0.000907848,0.000907848,0.000907848
25,2800.29,0.92549,0.69745,1.07683,0.9483,0.96007,0.98737,0.73767,0.90107,0.60009,1.06091,0.000874842,0.000874842,0.000874842
26,2941.26,0.93029,0.66716,1.06228,0.92576,0.97796,0.98383,0.74773,0.83751,0.57411,1.04449,0.000841835,0.000841835,0.000841835
27,3080.82,0.90023,0.68381,1.05956,0.93779,0.96559,0.98608,0.76514,0.8094,0.5695,1.01499,0.000808828,0.000808828,0.000808828
28,3218.87,0.89309,0.67388,1.06821,0.97053,0.98278,0.99151,0.77088,0.8078,0.51362,1.02553,0.000775822,0.000775822,0.000775822
29,3355.47,0.88007,0.6419,1.06225,0.94992,0.9697,0.98603,0.75959,0.83512,0.56428,1.04626,0.000742815,0.000742815,0.000742815
30,3491.91,0.89072,0.67028,1.05452,0.95039,0.9763,0.98726,0.75738,0.82232,0.54745,1.02619,0.000709809,0.000709809,0.000709809
31,3625.86,0.89211,0.6694,1.06611,0.93264,0.96006,0.98207,0.75287,0.82888,0.55657,1.048,0.000676802,0.000676802,0.000676802
32,3767.32,0.87305,0.66194,1.06623,0.93518,0.97375,0.9859,0.7547,0.84926,0.599,1.04485,0.000643795,0.000643795,0.000643795
33,3895.96,0.86058,0.63716,1.05028,0.92366,0.94766,0.97939,0.75142,0.82685,0.58246,1.0225,0.000610789,0.000610789,0.000610789
34,4023.31,0.89316,0.65694,1.06342,0.93773,0.96556,0.9838,0.7626,0.81774,0.55502,1.03031,0.000577782,0.000577782,0.000577782
35,4148.86,0.87383,0.64157,1.05998,0.94328,0.96419,0.98609,0.76604,0.80202,0.5681,1.01327,0.000544776,0.000544776,0.000544776
36,4279.14,0.86637,0.62341,1.05342,0.95176,0.96763,0.9892,0.77835,0.79765,0.53557,1.01064,0.000511769,0.000511769,0.000511769
