epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1034.61,0.67856,0.48825,0.96903,0.96194,0.96112,0.98307,0.84037,0.61315,0.417,0.92672,0.000545564,0.000545564,0.000545564
2,2018.15,0.68319,0.48096,0.96402,0.95657,0.96921,0.98077,0.82567,0.63416,0.42729,0.94183,0.00107943,0.00107943,0.00107943
3,3106.01,0.68861,0.496,0.97281,0.91049,0.94354,0.9771,0.78361,0.72914,0.49583,1.01744,0.00159128,0.00159128,0.00159128
4,4139.84,0.71273,0.51923,0.98126,0.94307,0.94419,0.97841,0.76813,0.79463,0.50993,1.06503,0.00156798,0.00156798,0.00156798
5,5120.39,0.69583,0.51136,0.97664,0.81018,0.76174,0.83436,0.59461,1.0174,0.96519,1.28316,0.00153497,0.00153497,0.00153497
6,6198.4,0.68816,0.49117,0.9693,0.9386,0.94303,0.97745,0.79381,0.72782,0.49139,1.00959,0.00150197,0.00150197,0.00150197
7,7264.38,0.6922,0.49825,0.97021,0.96553,0.97049,0.98597,0.81062,0.70226,0.43282,0.97555,0.00146896,0.00146896,0.00146896
8,8341.77,0.68412,0.48673,0.97166,0.93495,0.94052,0.97373,0.77814,0.73419,0.51102,1.0079,0.00143595,0.00143595,0.00143595
9,9401.97,0.70306,0.48602,0.97402,0.71587,0.71281,0.76272,0.48888,1.21021,1.24442,1.39244,0.00140295,0.00140295,0.00140295
10,10478.2,0.67902,0.48374,0.96373,0.95561,0.96497,0.98238,0.80446,0.67754,0.44863,0.97747,0.00136994,0.00136994,0.00136994
11,11562.4,0.65193,0.47072,0.95903,0.96816,0.98306,0.98547,0.83184,0.64525,0.39966,0.9499,0.00133693,0.00133693,0.00133693
12,12642.5,0.66531,0.46893,0.97065,0.96307,0.98114,0.98631,0.83331,0.63533,0.41292,0.95508,0.00130393,0.00130393,0.00130393
13,13701.6,0.66485,0.47068,0.97015,0.9451,0.95997,0.98165,0.80689,0.70717,0.45158,0.98111,0.00127092,0.00127092,0.00127092
14,14741.1,0.64873,0.45568,0.95955,0.95698,0.95887,0.98403,0.80576,0.69898,0.45857,0.99858,0.00123791,0.00123791,0.00123791
15,15777.7,0.63792,0.44728,0.95522,0.96755,0.97545,0.98767,0.83993,0.61908,0.37807,0.94371,0.00120491,0.00120491,0.00120491
16,16789,0.62614,0.43174,0.95222,0.96948,0.9781,0.9859,0.82855,0.65231,0.39151,0.94681,0.0011719,0.0011719,0.0011719
17,17853.5,0.63704,0.44055,0.95636,0.92354,0.9298,0.97377,0.76642,0.77045,0.51059,1.0659,0.00113889,0.00113889,0.00113889
18,18904.1,0.61856,0.4321,0.94986,0.94696,0.96903,0.98149,0.83552,0.6135,0.42156,0.94696,0.00110589,0.00110589,0.00110589
19,19943.9,0.62016,0.43489,0.9455,0.96615,0.97768,0.9858,0.82884,0.64073,0.39727,0.95408,0.00107288,0.00107288,0.00107288
20,20974.8,0.61819,0.42262,0.94851,0.96806,0.97987,0.98708,0.83924,0.61076,0.40514,0.9386,0.00103987,0.00103987,0.00103987
21,22005.2,0.60912,0.42225,0.94248,0.97779,0.9829,0.98863,0.84645,0.60884,0.3699,0.93444,0.00100687,0.00100687,0.00100687
22,23048.6,0.59806,0.4067,0.94062,0.96518,0.98157,0.98653,0.83892,0.62556,0.39066,0.94758,0.000973861,0.000973861,0.000973861
